추출된 텍스트,label
"검거 과정에서 대량의 대포통장, 신용카를 압수했는데 통화하시는 은행 통장이 발견이 됐어요",1
범죄현장에서 발견된 통장 건에 대해 아시는 내용 있습니까?,1
전산상으로 문제가 발생된 부분인지 조사 중에 있는데요,1
최근에 신분증이라던가 운전면허증 개인정보가 담긴 물품을 분실하신 적 있었습니까?,1
다른 계좌건에 대해 확인 나오게 되면 사용을 못 하게끔 하는 거에 대해 이의 없으시죠?,1
만약 이 사건과 연관성이 없게 되면 전화는 안 드릴 거예요,1
금전적인 대가를 받고 본인 명의 통장 대여 또는 판매를 했는지 아니면 개인정보 유출로 인해 명의도용 피해자인지 조사 중에 한 번 연락을 드리게 된 거고요,1
통장이 그냥 발견만 됐으면 상관이 없었는데 대포통장으로 이용이 되었습니다,1
이용하는 과정에서 금전적으로 피해 보신 분들이 있어요,1
그런데 사건으로 고발한 사건이고 ,1
그러다보니 사건 배당이 서울중앙지검까지 배당이 떨어진 상태예요,1
본인께서 이 사건과 연관성이 없게 되면 기본적으로 피해자 입증조사를 받게끔 되어 있고요,1
저희가 일반 휴대폰으로 연락을 드린 게 아니라 법원에서 인가받은 법원 녹취폰으로 연락을 해서 기본적으로 피해자 입증조사를 받게끔 되어 있으니까요,1
사실 있는 그대로만 진술하시면 되시는데 현재 계신 곳이 직장이십니까?,1
이 사건에 대해서 본 수사관은 개인정보보호법에 의거하여 주민번호 은행권의 계좌번호 비밀번호 등을 절대 묻지 않는다는 점 알아두시고,1
마찬가지로 저희가 녹취 중에는 절대 저한테 발설하시면 안 됩니다,1
용의자 일당들과 연관성이 없다는 것에 대해 입증 조사 시작하겠습니다,1
서울중앙지검 첨단범죄수사 부 수사관입니다. ,1
예금자 보호 등록을 위해 질문드리겠습니다,1
본인께서 운영하고 계신 자금이 합법적이고 이번 사건의 일당과 공모한 사실이 없는 무고한 피해자라는 신분을 해명 받으셔야지만 금전적으로나 재산적으로 본인 앞으로 피해가 가지 않도록 저희가 안전조치를 해 드릴 수가 있거든요,1
오늘 기준 본인의 통장에 얼마라고 기재가 되어 있어야 본인의 정상적이고 합법적인 재산입니까?,1
현재 진술하신 계좌 상의 증명에 큰 오차가 날 경우 그 계좌 역시 정상계좌가 아니라고 간주하고,1
본인 앞으로 피해 방지 차원에서 동결처리 및 체포영장이 발부될 수 있습니다,1
역시 범죄에 사용된 통장이다 라고 생각할 수 밖에 없죠,1
공문장 발송할 거예요. ,1
공문장에 적혀있는 날짜를 보시고 직접 출석하셔서 일대일 조사 또 따로 받으셔야 됩니다.,1
조사자는 사람 알고 계십니까,1
통장이 발급됐는데 직접 가셔서 발급받은 거 맞습니까,1
명의의 통장이 개설되어 대포통장 형식으로 범죄에 사용된 사실을 알고 있었습니까,1
통장은 범죄로 사용돼서 추가적인 피해자가 발생하지 않도록 본인 의사와 상관없이 동결처리 시켰습니다.,1
동결처리가 어떤 뜻인지 알고 있습니까,1
녹취 예정인데 잠깐 정차 가능하신가요,1
명의도용사건 관련해서 몇 가지 확인차 연락드렸다고요,1
혹시 명의로 통장 양도 판매하신 적 있으신가요,1
얼마 전에 수사과로 금융사기범 주범 외 공범이 검거됐는데 압수수색 당시 위조된 신분증 대포통장 OTP 보안카드 등을 대량으로 압수했습니다,1
전화드린 건 압수 물품 중에 통장이 발견되어 연락드린 거고요. 듣고 계신가요,1
통장 같은 경우 해당 금융권과 대조해본 결과 확실히 위조된 통장이 아닌 명의로 개설된 통장으로 확인됐어요,1
모르는 내용이 있으시면 그냥 모른다고 간단하게 진술만 해주시면 됩니다,1
녹취조사 자료는 피해자 입증을 위해 제출되는 자료이기 때문에 거짓말을 하시거나 은닉하실 시 공범으로 간주되어 가중처벌 및 체포영장이 발부될 수 있다는 점 인지 부탁드리고요,1
녹취 중에 주위 잡음이나 제3자의 목소리가 섞이게 되면 증거자료로 취하기 어려워요,1
현재까지 진술하신 내용 거짓 없는 사실 맞습니까,1
만일 조사 결과 내용이 진술 사실과 다를 경우 사기방조죄 은닉죄 위증죄가 성립된다는 사실 미리 말씀드립니다,1
그러시면 사건번호를 불러드릴게요 좀 외우시겠어요,1
명의도용 사건이고요,1
사건을 담당하고 게신 담당 검사님께 내선으로 연결해 드릴 거예요,1
검사님 연결되시면 사건번호랑 본인 성함 말씀해 주시고 확실하게 피해자 입증받으시면 되겠습니다.,1
서울중앙지검 금융범죄 수사과 수사팀 수사관이었습니다.,1
수고하십니다. 서울중앙지검 수사관이라고 합니다.,1
본인하고 연루된 명의도용 사건이 있어서 확인차 연락을 좀 드렸어요. ,1
몇 가지 질문드리고 사건번호 말씀드릴게요,1
본인 혹시 아시는 분이세요?,1
최근 지갑이나 신분증 개인정보가 유출될 만한 물건들을 분실 또는 도난당하신 적 있으십니까,1
사진이 아직 종결된 사건이 아니기 때문에 제3자 발설하시면 절대 안 되시는 부분이고요,1
녹취에 앞서 헌법 증거인멸죄 위증죄 공무집행 방해죄 추가된다는 점 명시해 드리고 지금부터 녹취조사 진행하겠습니다,1
아직 종결된 사건이 아니기 때문에,1
검거를 했지만 가담자가 있어서 절대 말씀하시면 안 되시는 부분이에요,1
사건이 종결되기 전에는 누구한테도 발설하면 안 되는 거 아시죠?,1
현재 본인 앞으로 고소 고발 건이 확인되시는 겁니다,1
그렇기 때문에 이 부분에 대해 공개하지 않았다는 피의자 입증을 해주셔야 되는 부분이고요,1
1차 조사할 건데 1차 조사는 간단한 녹취로 조사되는 부분입니다,1
녹취 자료는 공판에 증거자료로 허락되면 주변에 소음이 들러거나 목소리가 들리면 재녹취 조사를 해야 하니 주의해서 진술하시면 됩니다,1
혹시 사람 알고 계신가요?,1
이번에 저희 지검에서 주범으로 인한 금융범죄 사기단을 검거했는데요,1
검거 현장에서 신용카드 보안카드 통장 등을 압수했습니다,1
그런데 많은 분들 중에서도 명의로 개설된 통장이 같이 발견이 돼서 먼저 연락을 드린 건데요,1
첫 번째 예를 들어 전화가 끊어질 경우 저희는 가해자 혐의를 은닉하는 시간으로 판단되기 때문에 자동적으로 소환팀에서 소환장 발부가 될 수 있습니다,1
녹취 조사하기 때문에 ,1
유선 전화로 했을 경우에는 녹취가 불가능하기 때문에,1
조사 자체에 응하기 싫다 이렇게 말씀하시는 거잖아요,1
그럼 나오셔서 조사받으셔도 무관하세요,1
서울 남부지검 나오셔야죠. ,1
저는 서울남부지검 팀장 맡고 있습니다. 해명할 필요도 없고요,1
사건이라는 게 예고를 하고 찾아가지는 않습니다,1
본인의 의지와 상관없이 이 사건에 연루됐다고 말씀하시면 저도 알고 있어요,1
하지만 사건이기 때문에 피해자인지 가해자인지 그 부분만 확인을 해 드릴 뿐이지,1
저를 믿어주세요,1
조사를 꼭 응해야 된다,1
거기에 대해서 그렇다고 강압적으로 하지는 않아요,1
여기에 대해 못 믿어주시고 녹취 수사에 응하기 싫다 이렇게 말씀하시면 소환장 발부를 해드릴테니까 그 시간에 나오셔서 조사받으셔도 무관하세요,1
통신사 어디 이용하고 계세요?,1
이외에 명의로 개설된 다른 통신회선 따로 존재하는 게 있으세요?,1
본인 명의로 개설된 통신회선 내에서 통신권 조회 통해서 조직원들과 모종의 연락이 있었는지 없었는지 먼저 확인부터 할 거고요,1
수사관님께서 진술해주신 재산권 있지 않습니까,1
재산권에 대해 판독조사가 이루어질 겁니다,1
수사과정에 있어 어떠한 협의점도 포착되지 않는다면 피해자판정 해드리고 피해자인증서라는 서류를 발행해드릴겁니다,1
한 마디로 오늘 조사 자체가 피해자 판정 후에 피해자인증서를 발급받는다,1
은행권을 사용을 하던 모두 개인적인 신상정보를 기재하고 사용하는 게 스마트폰이잖아요,1
스마트폰이 해킹이 되가지고 개인정보 유출이 되고 이런 분들이 상당히 많으시기 때문에 본인 자택의 노트북과 휴대전화가 해킹이 되어 있는지 안 되어있는지 조사를 할 거라는 거예요,1
또 다른 IP가 확인이 되거나 동일한 IP로 확인이 됐을 때 불법 IP랑 복제 IP로 간주하여 IP 추적을 해 드릴거니까,1
인터넷 사용하지 마시라는 건데 모두 인터넷에 포함이 되잖아요,1
메시지를 답장을 못 하게 하지 않을 거예요,1
본인께서 저한테 검사님 이러이러한 메시지가 왔습니다. 제가 답장을 해야 할 것 같습니다 미리미리 말씀해주시면,1
제가 IP 수집을 중단하고 답장을 할 시간을 드릴 거기 때문에 IP가 겹치지 않게끔 제한테 미리미리 말씀하시라는 거예요. 아시겠어요?,1
현재 본 사건인 본인뿐만 아니라 전국에 걸쳐 연루가 된 광범위한 금융 외 사건이고요,1
원래 소환조사가 원칙이지만 연루가 되어있다 보니 일일이 소환조사 할 수 있는 상태가 아닙니다.,1
피의 혐의 없으신 분에 한해서만 유선으로 간략하게 조사하고 있어요,1
그러기 때문에 전반적인 조사과정을 녹취할 건데요 몇 가지 주의사항 말씀드리겠습니다.,1
제3자의 음성 또는 기타 소음이 들릴 시 ,1
진술하신 과정에서 위증 또는 은닉하실 경우 공무집행방해죄가 성립되니 이 점 유의하시기 바랍니다,1
실례지만 직장이신 거예요 자택이신 거예요,1
직장이시면 메모지랑 펜 챙기시고 녹취 진행 앞두시면 될 거거든요,1
최대한 좀 조용한 곳으로 가신 다음에 말씀해주시겠어요?,1
이동되시면 말씀해주세요,1
연락드린 곳은 서울 중앙지검의 수사관입니다.,1
다름이 아니고 본인과 연루된 명의도용 사건이 접수가 돼서 몇 가지 수집 차 연락을 드렸습니다,1
저희 쪽에서는 사건이 접수가 됐고 대포통장 발견이 되었기 때문에 연락을 드린 거거든요,1
입출금하거나 청약 또 따로 마이너스통장 정기에금 적금 없으신거죠,1
이렇게 진술받았고요 마지막 진술을 받고 담당 검사님이 이관을 시켜 드릴 거예요,1
불법 자금이 있는지 없는지 진위여부 파악한 뒤 담당 검사님이 이관을 시켜 드릴 건데요,1
전체적으로 합산하셨을 때 피해금액보다 자산이 이상이실까요 아니면 이하이실까요,1
실례지만 아시는 분인가요?,1
얼마 전에 주범으로 하는 금융범죄 사기단을 검거했는데 검거하는 현장에서 명의로 된 통장이 좀 발견되었습니다.,1
통장이 개설이 됐고 현재 지금 대포통장으로 쓰여졌으며 압수한 통장 해당 금융권하고 대조를 해본 결과 명의로 확인이 된 상태예요,1
통장이 대포통장으로 쓰여지면서 돈을 입금하신 피해자분들이 계세요,1
그런데 피해자분들께서 기소권을 요청을 해놨기 때문에 본인한테 연락을 드린거고,1
기소권을 취하하려면 현재 피해자 입증을 좀 받아야 해요,1
피해자 입증이라는 거는 녹취를 통해서 본인한테 질문을 드릴 겁니다. 잘 들으시고,1
자택으로 소환장 하나 발송해 드릴게요,1
제가 제 개인번호로 연락을 드린 이유는 내선 번호로 해서 교차적으로 연락드렸습니다,1
그런데 요새 워낙 보이스피싱 스미싱 이런 스팸전화가 많아서 안 받으신건지,1
현금화할 청약금 같은 경우 있으신가요?,1
입출금 계좌에 대해서 차명계좌 발급을 해 드릴 거예요,1
다 말씀을 드리면 이해를 잘 못 하시잖아요,1
그때그때 상황에 따라서 순차적으로 설명 다 해 드릴거예요,1
공문에 대해서 설명을 좀 드리도록 할게요,1
개인 수수료와 명의도용 피해자와 같은 해명 문구 보이시나요,1
검찰은 조사하신 분들에게 피해자 입증 절차와 그에 따른 주의사항을 말씀해 드리는 거고,1
조사하신 분들에게 피해자 입증절차와 그에 따른 주의사항에 대해서는 설명을 드릴 거예요,1
모든 절차는 조사하신 분들이 이해를 하시면서 나는 무고한 피해자라는 것을 당사자나 스스로가 입증하셔야 된다는 거예요,1
이번 조사 협조함에 있어 가장 핵심적인 부분이에요. 인지하셨나요?,1
합법적인 재산임을 증명 감독받아야 합니다,1
혹시 연고가 좀 있으세요?,1
다 확인을 해 보고 연락을 취해 드린 겁니다,1
통장이 불법적으로 사용이 됐기 때문에 통장이 어떤 식으로 사용이 됐는지 사건 경위에 대해서 좀 설명드리겠습니다,1
검찰 측에서 주범으로 인한 금융범죄사기단을 검거했어요,1
문제가 되는 게 뭐냐,1
검거하는 현장에서 대량의 신용카드와 대포통장을 좀 압수했는데요,1
압수한 대포통장들 사이에서 명의로 된 통장이 발견이 되어서 연락을 좀 드린건데,1
대포통장 관해서 알고 계셨던 내용 있나요?,1
주범은 검거가 되었는데요,1
일당들이 아직 검거가 되지 않았어요,1
그렇기 때문에 또 다른 대포통장 발견이 될 소지가 있어서 금융감독원과 합동 수사가 진행 중이고요,1
금융감독원 측에서 금일 내로 계좌 건에 대해 계좌 추적이 진행이 될 건데요,1
계좌 추적을 진행했을 때 직접 개설한 계좌 말고 모르는 계좌가 또 발견이 되잖아요,1
그러면 금융감독원 측에서는 본인이 모르는 계좌 건에 대해서는 불법계좌로 간주할 수 밖에 없고요,1
모르는 불법계좌 건에 대해서는 사건이 종결되기 전까지 동결처리를 진행하도록 할 건데요,1
아직까지 조사자 신분이기 때문에 피해자라고 판단을 내릴 수 있는 증빙자료가 좀 부족해요,1
본인께서 피해자라고만 말씀하셨다고 해서 저희 측에서 피해자라고 판단을 내릴 수 있는 부분은 아니기 때문에,1
증빙자료가 좀 부족해서 재판부에 제출하게 될 증거 자료로 간력하게 녹취조사를 좀 진행하도록 할 건데요,1
주의사항을 말씀해드리면 육성 소리나 기타 잡음 소리 있죠,1
시끄럽게 개입이 될 경우 재판부에서 채택하기가 어려우실 수가 있으세요,1
우리 고객님 에스크로게좌 같은 경우에는 납부 방법이 일반인들이 사용하는 계좌가 아니기 때문에 혹시라도 이제 은행에서 모니터링이 가실 수도 있으세요,1
혹시라도 모니터링이 가시게 되시면 수정하는 데 시간이 지체가 되실 수 있어요,1
혹시라도 모니터링을 하시면 에스크로게좌 이거 어떻게 알고 상환처리 했냐 라고 물어보실 수도 있으세요,1
다른 말씀 하지 마시고 고객님께서 당황 안 하시고 내가 지인인데 전세 자금 이런 거 빌려주는 거다 라고 말씀 좀 잘하시면,1
모니터링을 좀 피하실 수가 있으시거든요,1
대환조건심리 알고 계시죠?,1
높은 금리를 일부러 일으켜서 사용하는 것처럼 해서 당일만기상황제도  ,1
당일 빌려서 시간 이내로 상환처리가 들어갈 거예요,1
그래서 조건 맞추신 다음에 저희 쪽 자금을 풀어드리겠다 라는 겁니다,1
그냥 자금을 한 번 받으세요,1
정부지원자금이라고 들어보셨잖아요,1
고객님은 다 조건은 충족이 되시는데 금융거래 미비로 확인이 되세요,1
기존에 부채가 전혀 없으시잖아요,1
정부지원자금으로 고금리상품 이용 중이시거나 서민금융나들목으로 이렇게 신청을  해드리는데,1
고객님께서는 조건을 좀 맞춰주셔야지,1
저희가 자금을 풀어드릴 수가 있습니다,1
제가 결제 팀장이기 때문에 고금리상품도 이용해 주셔야 되시고 하시는데 전혀 없으시다고 보니까 금융거래 미비로 확인이 되세요,1
당일만기상환제도라고 있습니다,1
금융권에서 대출을 한 번 받으셔가지고 만기상환하시면 신용등급 올라가시잖아요,1
부채가 너무 없으시면 신용등급이 올라가지 않습니다,1
대출을 받으셔가지고 만기 상환해서 부채를 잘 갚아 나가시면 신용등급이 상승되십니다,1
자금이 나오셨나요?,1
당일만기상환제도로 해서 고객님 오늘 변제 조건하에 자금 받아보시는걸로 진행 도움 드리기로 했었잖아요,1
고객님 저희가 어떻게 보면 당일만기상환제도로 저축 은행에서 기존 고객님을 뺏어 오는 거잖아요,1
직접 상환 요청하시면 되시는데 왜 이렇게 상환요청이 들어왔냐고 물어보실 수 있으실 수 있으세요,1
그러면 사실대로 내가 신용 관리 차원에서 이렇게 처리하려고 하는 거다 라고 말씀 좀 잘 해주셔야 되시고요,1
고객님께서 요청하셔야 되실 게 DTI를 소요가 되잖아요,1
저희가 전산 이관을 받아야 합니다,1
전산이관 절차 하셔야 되시고요,1
기업부 납부증명서를 요청하셔야 되시고요,1
금융사 간에 처리 여부를 금감원 그리고 상대의 금융사 확인되는 방식으로 감독하는 계좌이시고요,1
에스크로 계좌는 일반적인 사용 방법이 아닌데 어떻게 하는거냐고 물어보시게 되시면,1
원래 처리가 안 되시는 부분인데 우회적으로 도움을 드리는 거기 때문에 당황하시면 안되시고,1
그쪽에서 말을 하시더라도 이렇게 내가 하는 건데 세게 나가셔야 되십니다,1
고객님 지금부터 상황보고서 작성에 녹취가 들어가실 겁니다,1
신사업은 결재팀으로 상황보고서 공문이 내려오셨고요,1
상황보고서 답장에 동의하십니까?,1
고객님 녹취가 들어가는 부분이고 그 부분은 고객님께서 동의 하에 녹취가 들어가는 부분이라 걱정을 안 하셔도 되시고요,1
본인 앞으로 명의도용 사건 때문에 연락드렸습니다,1
지금은 금융사기범으로 얼마 전에 수사과에서 검거했는데요,1
일당들을 검거하는 현장에서 본인 명의로 된 대포통장이 같이 발견되었습니다,1
최근 지갑이나 신분증 개인정보가 유출될 만한 물건들을 분실하신 적은 있으십니까?,1
혹시나 해서 해당 금융감독원과 대조해본 결과 확실히 본인 명의로 확인되었고요,1
이번 사건에 연루된 사람들 중에서 직접 전화를 받고 통장을 양도 판매한 사람도 있고,1
개인 자료가 유출되어 명의도용을 당하신 분도 많이 계십니다,1
검찰에서 연락드린 이유는 두 통장을 직접 양도판매 한 가해자인지 아니면 본인 또한 명의도용을 당한 피해자인지 확인차 연락을 드렸는데,1
전반적으로 조사해서 동일 전과가 없으셨고 신분 또한 확실해서 유선 상 연락드린 겁니다,1
검찰청에선 공공기관으로서 유선상으로 본인 앞으로 된 계좌번호나 비밀번호 개인정보 같은 건 절대 여쭤보지 않습니다,1
그러니 본인께서도 주의를 해주시고 절대 얘기하시면 안 되겠습니다,1
검사님께서 검문장 보내드릴 겁니다.,1
검문장 받아보시고 확인해보시면 되겠습니다,1
"검찰청에서는 공공기관에서 본인의 앞으로 계좌번호, 비밀번호, 개인 정보 같은 거 여쭤보지 않습니다.",1
본인께서도 주의를 해 주시고 절대 얘기하시면 안 되시겠고요.,1
어떤 금융권을 지금 사용하고 계시죠?,1
본인께서는 몇 개의 계좌 어떤 용도로 사용하고 계십니까?,1
일단 동일 전과가 없으시고 일단 신분도 확실해서 저희가 유선상으로 이렇게 해놔드린 거예요.,1
그다음에 본인께서 만약에 이 혐의점이 있다고 하시면은요.,1
직접 저희 청으로 내방을 해 조사를 받으셔야 되시겠고요.,1
일단 지금 중요한 건 범죄 현장에서 이 명의로 되신 통장이 발견되었다고 말씀드렸는데 ,1
그래서 당시 보광 씨가 이 통장을 양보한 사실이 없으시면요.,1
간단한 피해자 입증 조사를 받으셔야 되십니다. 일단 저희한테는 본인께서 피해자인지 가해자인지 아무런 증거 자료가 없어요.,1
그래도 본인을 구속되고 가해자다 이렇게 판단할 수는 없지 않습니까?,1
그렇기 때문에 제가 본인 앞서 몇 가지 질문드릴 거예요.,1
이 통장들이 불법 정도로 사용이 되셨거든요.,1
간단하게만 이렇게 진술해 주시면 되시거든요. 이해하셨어요?,1
제가 이 녹취 증거 자료를 제1차 공판 때 피해자 입증 자료로 본인을 대신해서 법정에 제출해 드릴 거예요.,1
다름이 아니라 개인정보 유출 사건 때문에 부자 앞으로 몇 가지 확인차 연락드렸어요.,1
서울중앙지검 수사관입니다.,1
왜냐하면 저희 수사과에서 얼마 전에 금융 사기 집단을 검거를 하였는데요.,1
근데 과거 현장에서 이 대량 제품 통장과 카드를 압수하는 과정에서 복지 명의로 되신 통장 같이 발견되셔 전화드렸습니다.,1
혹시 본인께서는 이 통장 개설에 대해서는 알고 계셨나요?,1
저도 지금 앞으로만 전화를 해서 조사를 하는 거 아니에요 지금 이번 사건만 해도 지금 연루된 인원 수는 가까이 되십니다.,1
수사를 하고 또 다른 피해자보다 앞으로 전화를 해야 되는 상황이기 때문에 잠시만 협조를 해 주시면 되시거든요.,1
일차 공판의 증거자료로 활용이 되는데 주변에 소음이 크게 들리거나 제3자의 목소리가 들리게 되면 처음부터 재녹취 조사를 해야 되니까,1
이 점 주의해서 진술을 해주시면 되고요. 지금 현재 전화받으시는 장소가 어디십니까?,1
이게 경찰 사건이 아니라 저희는 여기 지금 서울중앙지검 첨단범죄 수사과입니다.,1
본인께서 뭐 방문조사를 원하시면 저희가 방문조사를 받게끔 조치를 취해드릴 수 있는 내용인데요.,1
 방문조사 원하시면 저희가 그렇게 해드리고 아니면은 저희가 간단한 녹취 조사로 진행을 하도록 할 텐데요.,1
그래서 뭐 본인 날짜에 맞는 스케줄을 저희가 어떻게 맞춰드릴 수 있는 부분은 좀 힘들 거 같고요.,1
"어느 부분으로 그 녹취에 앞서서 혹시라도 겁이 나서 은폐 또는 은닉을 하실 시에는 형법증거인멸죄,  위증죄,  공무집행방해죄가 추가된다는 점 명시를 해드리고",1
지금부터 녹취 조사 진행을 하도록 하겠습니다.,1
지금 현재 본인 가상의 차명계좌 부분에 대해서 아직 발급이 안 돼 있는 상태입니다.,1
지금 현재 본인께서 소유하신 금액이 대략  넘어가시잖아요?,1
금융감독원에서 원하는 자금 데이터 이동 부분이 있을 겁니다.,1
그 부분에 대해서 본인께서 자금 데이터 이동을 해주셔야 되는 부분이고,1
본인께서 이제 계좌 추적을 받으시고 복구까지 완료하신 걸 확인하신 다음에 본인 피해자 인증 완료를 마치시면 될 것 같습니다.,1
지금 본인 명의의 통장이 어떠한 용도로 사용이 되셨는지 제가 간단히 설명을 드릴 텐데요.,1
이러한 사이트 등에서 고가성의 물건들을 이제 저가에 판매한다고 올려놓고 물건은 안보내고 돈만 편취한 사건입니다.,1
"그러다 보니 피해자분들이 발생을 했고 본인 앞으로 고소, 고발 건이 ",1
이 부분에 대해서 공조하지 않았다는 피해자 입증을 해주셔야 되는 부분입니다.,1
간단한 녹취로 조사가 진행이 될 거고요.,1
 제가 초기에 여쭤봤던 내용들 다시 한 번 본인께서 녹취 전화상에 사실대로만 진술을 해주시면은 되는 부분입니다.,1
본인께서 이번 사건에 명의를 제공하신 건지 명의도용을 당하신 건지 저희가 확인 전화를 드린 거고요.,1
 몇 가지 질문 좀 드리고 사건 내용 말씀을 드리도록 할게요.,1
"최근 지갑이라든지 신분증, 여권, 휴대폰 등 본인 개인 정보 유출될만한 물건들 분실이나 도난당하신 적 있습니까?",1
해외에서 카드를 사용했다거나 아이디를 해킹을 당하신 적은요?,1
아이디 해킹 건으로 전혀 연락받으신 적 없으십니까?,1
지금 본인 명의의 통장이 불법거래에 이용이 된 게 저희 쪽에 압수품으로 좀 확보가 된 상탠데 본인께서 명의를 제공을 하신 건지 명의도용을 당하신 건지 저희가 확인하기 위해서 전화를 드렸습니다.,1
저희가 몇 가지 질문 좀 드리고 이번 사건 내용 말씀을 드리도록 할게요.,1
"최근 지갑이라든지 신분증, 여권, 휴대폰 등 본인 개인 정보 유출될만한 물건들 분실이나 도난당하신 적 있습니까? ",1
아이디를 해킹을 당했거나 해외에서 카드를 사용하신 적은요?,1
따로 연락받으신 적도 전혀 없으셨습니까?,1
중심으로 한 명의도용 및 불법거래 사기단을 검거하는 과정에서 대량의 신용카드와 대포통장을 압수를 했습니다.,1
문제가 되는 게 뭐냐면 이 증거품 속에서 명의로 된 농협과 국민은행 이 두 통장이 압수가 되었고요.,1
통장은 저희가 해당 은행에 대조를 해봤더니,1
통장에 관해서 아시는 내용 있으십니까?,1
혹시라도 금전적인 대가를 받고 통장을 판매를 하셨거나 아니면 제3자에게 양도한 사실이 있으십니까?,1
계좌 추적을 진행한 이유가 뭐냐면,1
"본인 명의로 된 대포통장, 계좌 건을 이용해서 저희가 본인이 김현수 일당과 모종의 거래내역이 있는지 없는지 확인하는 부분도 있지만",1
구체적으로는 본인이 모르는 또 다른 대포통장이 개설이 돼서 사용되고 있을 수 있기 때문에,1
부분이 발견이 되면 사용 못하게 막기 위해서 진행하는 부분도 있습니다. 계좌추적은.,1
그렇기 때문에 본인 진술을 받는 거고 본인이 진술하시는 내용과 금융감독원 조사 내용이 상이하게 다를 경우에는,1
본인 자산에 피해 가지 않도록 진행하는 부분이고요.,1
본인도 피해자 입증을 받기 힘든 점이 있기 때문에 진술하실 때 잘 생각해서 진술 잘 해주시기 바라겠습니다.,1
대해서 여쭤봤냐면은 저희 검찰 측에서 이제 주범으로 인한 금융범죄 사기단을 검거를 했어요.,1
검거하는 현장에서 저희가 대량의 신용카드와 대포통장을 좀 압수를 했는데요.,1
근데 그 압수한 대포통장들 사이에서 통장이 발견이 되어서 연락을 좀 드린 건데 본인께서 이 두 장의 대포통장 관해서 알고 계셨던 내용 있나요?,1
본인 메시지로 내선번호 하나 보내드릴 테니까요. 그 쪽으로 연락을 좀 줘요,1
검거하는 현장에서 저희가 대량의 신용카드와 대포통장을 압수를 했는데 그 압수한 대포통장들 사이에서 통장이 같이 발견이 되어서 이제 연락을 드리게 됐고요.,1
대포통장 관련해가지고 아셨던 사실이 있으세요?,1
조회를 좀 해봤는데 이 통장의 명의가,1
본인께서 개설한 통장은 아니시고요?,1
대포통장들을 직접 개설을 해가지고 뭐 금전적인 대가성이라든지 아니면은 어떠한 대가성을 받으셔가지고,1
"대포통장들을 판매, 양도를 하신 건지 아니시면은 본인의 개인 정보가 외부로 유출이 되면서 대포통장 명의도용 당하신 피해자분이신지",1
검찰들 입장에서는 이제 본인께서 피해자라고 말씀만 하셔가지고 피해자라고 판단을 내릴 수 있는 부분은 아니고요.,1
제가 쉽게 말씀을 좀 정리를 해드리면은 피해자인지 아니면 가해자인지 이것 좀 구분 차 연락을 드린 거예요.,1
피해자분들 이라든지 뭐 가해자분들 이런 식으로  연루가 되다 보니까 그런 분들을 저희가 일일이 다 조사를 하고 있는 부분이에요.,1
아 그 주범만 검거를 했는데요. 그 일당들을 아직 저희가 검거를 못했어요.,1
일당들이 고가의 물건을 좀 저렴하게 판매한다고 해서 매물만 대량으로  등록을 해놓고요.,1
가해자인지 아니면 피해자인지 이것 좀 구분 차 연락을 좀 드렸다고요.,1
 대포통장으로 입금을 유도한 뒤에 물건을 보내지 않고 그 통장에서 자금만 인출한 사롄데요.,1
아무래도 물건을 보내지 않았기 때문에 여러 피해자분들이 발생이 좀 되었고요.,1
피해자도 아니고 가해자도 아닌 조사자 신분으로 이제 연락을 드린 겁니다.,1
"피해자분들이 입금한 계좌 건으로 현재 고소, 고발을 취해놓은 상태",1
피해자분들이 금전적인 피해가 좀 발생이 되었잖아요. 왜냐하면 입금을 했는데 물건을 받지 못했기 때문에,1
한 번도 못 들어 본 사람이에요? 아니면 한번 정도는 들어봤었던 이름인 거 같아요?,1
저희가 체포를 했는데,1
왜냐하면 저희가 최근에 주범으로 하는 금융범죄 사기단들을 7명 검거를 했어요.,1
사람들 검거를 하고 사무실 압수수색을 좀 진행을 했는데 사무실에서 압수된 것들이 ,1
"여 개가 넘는 대포통장들하고 복제된 신용카드, 보안카드, 그 다음에 위조된 신분증 이런 거  같이 압수를 했고 지금 압수된 물품들 분류하는 과정에서",1
명의로 된 계좌를 발견했고요,1
 계좌 저희가 출처를 확인을 하니까 진술에 의하면 몇 번 봐가지고 아시는 분이고 계좌를 돈을 주고 샀다 이렇게 진술을 했기 때문에 전화드린 거예요.,1
범죄자들의 말은 신뢰할 수가 없기 때문에 직접 제가 구두 진술 받을 건데 ,1
지금 메모지 있으면 메모 좀 해주세요. ,1
제가 근무하는 부서는 첨단범죄 수사1부,1
이제 금융기관을 조회를 해보니까 계좌는 맞다고 확인을 받았어요,1
근데 이제 만들어진 게 거주하신 데하고 좀 멀리 떨어진 곳에서 계좌개설이 됐기 때문에,1
얘를 몇 번 봤다고 해서 저희가 여쭤보는 거예요.,1
그대로만 진술해주시면 되고 또한 제가 전반적인 과정을 녹취로 진행하고 있습니다.,1
녹취파일은 다 명의도용 당하신 명의도용 피해자가 맞다 하면 저희가 법원에 제출해가지고 본인 무혐의 녹취파일은 다 명의도용 당하신 명의도용 피해자가 맞다 하면 저희가 법원에 제출해가지고 본인 무혐의 처분 받으시는 중요한 증거자료로 활용을 할 거예요.,1
